accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,coverage,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.9732142857142857,0.0,0.0,dino_detector,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.01,full-open
325,324,0.9969230769230769,0.003076923076923077,1,0.9899553571428571,0.3627232142857143,0.7246700961753523,ensemble_detector,0.0,0.6372767857142857,0.6,0.49899553571428573,447.1,0,0.36160714285714285,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.0,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.01,full-open
328,327,0.9969512195121951,0.003048780487804878,1,0.9888392857142857,0.36607142857142855,0.6337209302325582,witt_context_style,0.0,0.6339285714285714,0.6,0.5758928571428571,516.0,0,0.36495535714285715,0.01,full-open
328,327,0.9969512195121951,0.003048780487804878,1,0.9888392857142857,0.36607142857142855,0.562242090784044,fixed_refine_all,0.0,0.6339285714285714,0.6,0.6491071428571429,581.6,0,0.36495535714285715,0.01,full-open
362,361,0.9972375690607734,0.0027624309392265192,1,0.9732142857142857,0.40401785714285715,0.6181506849315068,opensemcom_progressive,0.23995535714285715,0.5959821428571429,0.6,0.6517857142857143,584.0,0,0.4029017857142857,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.0,0.0,dino_detector,0.0,1.0,0.8,0.1,89.60000000000001,0,0.0,0.01,full-open
325,324,0.9969230769230769,0.003076923076923077,1,0.9899553571428571,0.3627232142857143,0.7246700961753523,ensemble_detector,0.0,0.6372767857142857,0.8,0.49899553571428573,447.1,0,0.36160714285714285,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.0,0.0,deepjscc_pca,0.0,1.0,0.8,0.1,89.60000000000001,0,0.0,0.01,full-open
328,327,0.9969512195121951,0.003048780487804878,1,0.9888392857142857,0.36607142857142855,0.6337209302325582,witt_context_style,0.0,0.6339285714285714,0.8,0.5758928571428571,516.0,0,0.36495535714285715,0.01,full-open
328,327,0.9969512195121951,0.003048780487804878,1,0.9888392857142857,0.36607142857142855,0.562242090784044,fixed_refine_all,0.0,0.6339285714285714,0.8,0.6491071428571429,581.6,0,0.36495535714285715,0.01,full-open
362,361,0.9972375690607734,0.0027624309392265192,1,0.9732142857142857,0.40401785714285715,0.6181506849315068,opensemcom_progressive,0.23995535714285715,0.5959821428571429,0.8,0.6517857142857143,584.0,0,0.4029017857142857,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.0,0.0,dino_detector,0.0,1.0,1.0,0.1,89.60000000000001,0,0.0,0.01,full-open
325,324,0.9969230769230769,0.003076923076923077,1,0.9899553571428571,0.3627232142857143,0.7246700961753523,ensemble_detector,0.0,0.6372767857142857,1.0,0.49899553571428573,447.1,0,0.36160714285714285,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.0,0.0,deepjscc_pca,0.0,1.0,1.0,0.1,89.60000000000001,0,0.0,0.01,full-open
328,327,0.9969512195121951,0.003048780487804878,1,0.9888392857142857,0.36607142857142855,0.6337209302325582,witt_context_style,0.0,0.6339285714285714,1.0,0.5758928571428571,516.0,0,0.36495535714285715,0.01,full-open
328,327,0.9969512195121951,0.003048780487804878,1,0.9888392857142857,0.36607142857142855,0.562242090784044,fixed_refine_all,0.0,0.6339285714285714,1.0,0.6491071428571429,581.6,0,0.36495535714285715,0.01,full-open
362,361,0.9972375690607734,0.0027624309392265192,1,0.9732142857142857,0.40401785714285715,0.6181506849315068,opensemcom_progressive,0.23995535714285715,0.5959821428571429,1.0,0.6517857142857143,584.0,0,0.4029017857142857,0.01,full-open
263,262,0.9961977186311787,0.0038022813688212928,1,0.9732142857142857,0.2935267857142857,0.8029420778424762,dino_detector,0.0,0.7064732142857143,0.6,0.36417410714285714,326.3,0,0.2924107142857143,0.02,full-open
354,353,0.9971751412429378,0.002824858757062147,1,0.9899553571428571,0.3950892857142857,0.7369519832985386,ensemble_detector,0.0,0.6049107142857143,0.6,0.5345982142857143,479.0,0,0.3939732142857143,0.02,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.0,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.02,full-open
353,352,0.9971671388101983,0.0028328611898017,1,0.9888392857142857,0.3939732142857143,0.6417502278942571,witt_context_style,0.0,0.6060267857142857,0.6,0.6121651785714286,548.5,0,0.39285714285714285,0.02,full-open
353,352,0.9971671388101983,0.0028328611898017,1,0.9888392857142857,0.3939732142857143,0.5685672750767242,fixed_refine_all,0.0,0.6060267857142857,0.6,0.6909598214285715,619.1,0,0.39285714285714285,0.02,full-open
367,365,0.9945504087193461,0.005449591280653951,2,0.9732142857142857,0.4095982142857143,0.6855747558226898,opensemcom_progressive,0.14397321428571427,0.5904017857142857,0.6,0.5941964285714285,532.4,0,0.40736607142857145,0.02,full-open
263,262,0.9961977186311787,0.0038022813688212928,1,0.9732142857142857,0.2935267857142857,0.8029420778424762,dino_detector,0.0,0.7064732142857143,0.8,0.36417410714285714,326.3,0,0.2924107142857143,0.02,full-open
