task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95,auroc_mean,auroc_std,auroc_ci95,fpr95_mean,fpr95_std,fpr95_ci95
deepsense-beam,0.01,0.3,deepjscc_pca,5,0.0030534351145038168,0.004181088225230276,0.0036648854166832284,0.0,0.0,0.0,0.0030534351145038168,0.004181088225230276,0.0036648854166832284,0.4,0.5477225575051661,0.4800999895855029,0.4,0.5477225575051661,0.4800999895855029,0.10183206106870228,0.0025086529351381576,0.0021989312500099297,0.029197080291970805,0.03997974872300483,0.03504379486025569,0.0,0.0,0.0,0.9969465648854963,0.004181088225230283,0.0036648854166832345,0.8870229007633588,0.016549223960823492,0.014506034382497698,0.6469636872711229,0.07197558924596201,0.06308938562763296,0.8102478343195438,0.20448740475385171,0.17924111312827343
deepsense-beam,0.01,0.3,dino_detector,5,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.0,0.0,0.0,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.4,0.5477225575051661,0.4800999895855029,0.8,1.3038404810405297,1.1428665713896788,0.10549618320610687,0.00895768269417158,0.007851755070616116,0.05226039783001808,0.08291292068613036,0.0726763793319565,0.0,0.0,0.0,0.9938931297709924,0.009952980771301771,0.008724172300684585,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
deepsense-beam,0.01,0.3,ensemble_detector,5,0.0030534351145038168,0.006827688480915388,0.005984732824427481,0.0,0.0,0.0,0.0030534351145038168,0.006827688480915388,0.005984732824427481,0.2,0.4472135954999579,0.39199999999999996,0.4,0.8944271909999159,0.7839999999999999,0.10335877862595419,0.007510457329006926,0.006583206106870227,0.026143790849673203,0.05845929352940627,0.05124183006535948,0.0,0.0,0.0,0.9969465648854963,0.0068276884809154,0.00598473282442749,0.9083969465648856,0.017902350228333672,0.015692101850484686,0.8367376580229244,0.07906540041293564,0.0693038791166931,0.5601055649331512,0.2931630566381154,0.2569687490687032
deepsense-beam,0.01,0.3,fixed_refine_all,5,0.004580152671755725,0.006827688480915388,0.005984732824427481,0.0,0.0,0.0,0.004580152671755725,0.006827688480915388,0.005984732824427481,0.4,0.5477225575051661,0.4800999895855029,0.6,0.8944271909999159,0.7839999999999999,0.10687022900763359,0.010241532721373086,0.008977099236641225,0.03854335063388071,0.05633574734246786,0.04938045976343641,0.0,0.0,0.0,0.9954198473282443,0.0068276884809154,0.00598473282442749,0.9114503816793892,0.017573838829345528,0.015404148913232435,0.8301420172806164,0.07897714275596121,0.06922651786944546,0.5744010377765967,0.2755593319124626,0.24153840401235188
deepsense-beam,0.01,0.3,opensemcom_no_channel,5,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.0,0.0,0.0,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.8,0.4472135954999579,0.39199999999999996,1.2,1.0954451150103321,0.9601999791710057,0.11007633587786261,0.009198394095506598,0.008062747916703094,0.0788388869804191,0.06569317841553508,0.05758260973730208,0.0,0.0,0.0,0.9908396946564885,0.008362176450460565,0.007329770833366469,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
deepsense-beam,0.01,0.3,opensemcom_progressive,5,0.004580152671755725,0.010241532721373082,0.008977099236641221,0.0,0.0,0.0,0.004580152671755725,0.010241532721373082,0.008977099236641221,0.2,0.4472135954999579,0.39199999999999996,0.6,1.3416407864998738,1.176,0.10412213740458016,0.009217379449235777,0.0080793893129771,0.03797468354430379,0.08491397382910593,0.07443037974683543,0.0,0.0,0.0,0.9954198473282443,0.0102415327213731,0.008977099236641237,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
deepsense-beam,0.01,0.3,opensemcom_receiver_only,5,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.0,0.0,0.0,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.2,0.4472135954999579,0.39199999999999996,0.2,0.4472135954999579,0.39199999999999996,0.10167938931297708,0.00375522866450346,0.003291603053435111,0.014084507042253521,0.03149391517605338,0.0276056338028169,0.0,0.0,0.0,0.9984732824427482,0.0034138442404577,0.002992366412213745,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
deepsense-beam,0.01,0.3,witt_context_style,5,0.004580152671755725,0.006827688480915388,0.005984732824427481,0.0,0.0,0.0,0.004580152671755725,0.006827688480915388,0.005984732824427481,0.4,0.5477225575051661,0.4800999895855029,0.6,0.8944271909999159,0.7839999999999999,0.10595419847328244,0.008875995025189997,0.007780152671755718,0.039366595895258316,0.05766655304388938,0.05054696239261975,0.0,0.0,0.0,0.9954198473282443,0.0068276884809154,0.00598473282442749,0.9114503816793892,0.017573838829345528,0.015404148913232435,0.8301420172806164,0.07897714275596121,0.06922651786944546,0.5744010377765967,0.2755593319124626,0.24153840401235188
deepsense-beam,0.01,0.45,deepjscc_pca,5,0.0030534351145038168,0.004181088225230276,0.0036648854166832284,0.0,0.0,0.0,0.0030534351145038168,0.004181088225230276,0.0036648854166832284,0.4,0.5477225575051661,0.4800999895855029,0.4,0.5477225575051661,0.4800999895855029,0.10183206106870228,0.0025086529351381576,0.0021989312500099297,0.029197080291970805,0.03997974872300483,0.03504379486025569,0.0,0.0,0.0,0.9969465648854963,0.004181088225230283,0.0036648854166832345,0.8870229007633588,0.016549223960823492,0.014506034382497698,0.6469636872711229,0.07197558924596201,0.06308938562763296,0.8102478343195438,0.20448740475385171,0.17924111312827343
deepsense-beam,0.01,0.45,dino_detector,5,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.0,0.0,0.0,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.4,0.5477225575051661,0.4800999895855029,0.8,1.3038404810405297,1.1428665713896788,0.10549618320610687,0.00895768269417158,0.007851755070616116,0.05226039783001808,0.08291292068613036,0.0726763793319565,0.0,0.0,0.0,0.9938931297709924,0.009952980771301771,0.008724172300684585,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
